t/s;A/#/s;A/(#/s);A2/(#/s)2
10;-2,77;-2,767;0
20;1,53;-0,617;4,623
30,1;-2,47;-1,233;3,842
40,1;-3,37;-1,767;3,735
50,2;0,63;-1,287;3,91
60,2;-0,57;-1,167;3,33
70,2;1,33;-0,81;3,62
80,3;1,03;-0,579;3,539
90,3;0,03;-0,511;3,182
100,4;-1,17;-0,577;2,903
110,4;-0,17;-0,539;2,653
120,4;-0,17;-0,508;2,442
130,5;-1,97;-0,621;2,406
140,5;-4,17;-0,874;3,068
150,6;0,33;-0,793;2,954
160,6;0,33;-0,723;2,844
170,6;-0,27;-0,696;2,688
180,7;-2,37;-0,789;2,685
190,7;0,43;-0,725;2,618
200,8;-4,17;-0,897;3,05
210,8;-2,37;-0,967;3,003
220,8;-1,57;-0,994;2,882
230,9;-1,47;-1,014;2,766
240,9;-1,17;-1,021;2,652
251;0,43;-0,963;2,627
261;1,53;-0,867;2,756
271;-0,57;-0,856;2,657
281,1;0,63;-0,802;2,639
291,1;-0,67;-0,798;2,548
301,1;0,53;-0,753;2,52
