imp;angle;lambda;conjunt 1;T
23;5;35,10633318;130;0,176923077
23;5,1;35,80662278;124;0,185483871
22;5,2;36,5068033;124;0,177419355
17;5,3;37,20687262;113;0,150442478
17;5,4;37,9068286;124;0,137096774
20;5,5;38,60666912;112;0,178571429
31;5,6;39,30639202;117;0,264957265
34;5,7;40,0059952;108;0,314814815
38;5,8;40,70547651;115;0,330434783
33;5,9;41,40483382;119;0,277310924
40;6;42,104065;131;0,305343511
39;6,1;42,80316793;139;0,28057554
37;6,2;43,50214048;152;0,243421053
40;6,3;44,20098051;175;0,228571429
43;6,4;44,89968589;193;0,222797927
43;6,5;45,59825451;213;0,201877934
45;6,6;46,29668422;226;0,199115044
53;6,7;46,9949729;232;0,228448276
65;6,8;47,69311843;244;0,266393443
85;6,9;48,39111868;266;0,319548872
99;7;49,08897152;254;0,38976378
121;7,1;49,78667483;266;0,454887218
149;7,2;50,48422648;281;0,53024911
168;7,3;51,18162434;287;0,585365854
160;7,4;51,8788663;294;0,544217687
173;7,5;52,57595023;289;0,598615917
167;7,6;53,272874;300;0,556666667
164;7,7;53,96963549;302;0,543046358
168;7,8;54,66623258;317;0,529968454
173;7,9;55,36266314;313;0,552715655
168;8;56,05892507;313;0,536741214
