angle;imp;lambda;conjut 2;T
7;98;49,08897152;275;0,356363636
7,1;103;49,78667483;276;0,373188406
7,2;101;50,48422648;286;0,353146853
7,3;98;51,18162434;292;0,335616438
7,4;99;51,8788663;300;0,33
7,5;102;52,57595023;304;0,335526316
7,6;99;53,272874;303;0,326732673
7,7;99;53,96963549;323;0,306501548
7,8;98;54,66623258;326;0,300613497
7,9;89;55,36266314;334;0,266467066
8;87;56,05892507;326;0,266871166
8,1;90;56,75501622;335;0,268656716
8,2;86;57,4509345;340;0,252941176
8,3;85;58,14667776;339;0,250737463
8,4;76;58,8422439;336;0,226190476
8,5;70;59,5376308;347;0,201729107
8,6;76;60,23283634;344;0,220930233
8,7;94;60,9278584;342;0,274853801
8,8;127;61,62269486;347;0,365994236
8,9;149;62,3173436;347;0,429394813
9;170;63,01180252;343;0,495626822
9,1;201;63,70606949;358;0,561452514
9,2;227;64,4001424;344;0,659883721
9,3;227;65,09401914;357;0,635854342
9,4;232;65,78769759;351;0,660968661
9,5;221;66,48117564;345;0,64057971
9,6;227;67,17445118;357;0,635854342
9,7;217;67,86752209;354;0,61299435
9,8;220;68,56038626;358;0,61452514
9,9;219;69,25304159;351;0,623931624
10;211;69,94548596;360;0,586111111
10,1;203;70,63771727;369;0,550135501
10,2;211;71,3297334;355;0,594366197
10,3;214;72,02153225;365;0,58630137
10,4;204;72,71311171;358;0,569832402
10,5;204;73,40446967;366;0,557377049
10,6;211;74,09560403;362;0,582872928
10,7;204;74,78651268;369;0,552845528
10,8;202;75,47719352;372;0,543010753
10,9;207;76,16764444;375;0,552
11;209;76,85786334;365;0,57260274
