angle;imp;lambda;conjunt 1;T
5;35;35,10633318;130;0,269230769
5,1;35;35,80662278;124;0,282258065
5,2;32;36,5068033;124;0,258064516
5,3;30;37,20687262;113;0,265486726
5,4;32;37,9068286;124;0,258064516
5,5;31;38,60666912;112;0,276785714
5,6;31;39,30639202;117;0,264957265
5,7;31;40,0059952;108;0,287037037
5,8;32;40,70547651;115;0,27826087
5,9;41;41,40483382;119;0,344537815
6;50;42,104065;131;0,381679389
6,1;60;42,80316793;139;0,431654676
6,2;62;43,50214048;152;0,407894737
6,3;70;44,20098051;175;0,4
6,4;77;44,89968589;193;0,398963731
6,5;82;45,59825451;213;0,384976526
6,6;81;46,29668422;226;0,35840708
6,7;75;46,9949729;232;0,323275862
6,8;76;47,69311843;244;0,31147541
6,9;77;48,39111868;266;0,289473684
7;83;49,08897152;254;0,326771654
7,1;104;49,78667483;266;0,390977444
7,2;119;50,48422648;281;0,423487544
7,3;140;51,18162434;287;0,487804878
7,4;157;51,8788663;294;0,534013605
7,5;188;52,57595023;289;0,650519031
7,6;198;53,272874;300;0,66
7,7;205;53,96963549;302;0,678807947
7,8;201;54,66623258;317;0,634069401
7,9;210;55,36266314;313;0,670926518
8;214;56,05892507;313;0,68370607
