angle;imp;lambda;Conjunt 3;T
14;30;97,44613955;342;0,087719298
14,1;33;98,12812675;363;0,090909091
14,2;33;98,80981503;338;0,097633136
14,3;32;99,49120232;332;0,096385542
14,4;29;100,1722866;333;0,087087087
14,5;31;100,8530656;349;0,088825215
14,6;28;101,5335375;350;0,08
14,7;28;102,2137001;366;0,076502732
14,8;31;102,8935513;366;0,084699454
14,9;28;103,5730891;351;0,07977208
15;28;104,2523114;370;0,075675676
15,1;26;104,9312161;389;0,066838046
15,2;29;105,6098012;454;0,063876652
15,3;25;106,2880645;474;0,052742616
15,4;26;106,9660041;441;0,058956916
15,5;28;107,6436179;447;0,062639821
15,6;25;108,3209037;542;0,046125461
15,7;29;108,9978596;648;0,044753086
15,8;29;109,6744835;735;0,039455782
15,9;25;110,3507733;558;0,044802867
16;26;111,0267269;503;0,051689861
16,1;26;111,7023424;488;0,053278689
16,2;24;112,3776175;409;0,058679707
16,3;25;113,0525504;371;0,067385445
16,4;24;113,7271388;351;0,068376068
16,5;23;114,4013808;345;0,066666667
16,6;23;115,0752744;338;0,068047337
16,7;23;115,7488174;339;0,067846608
16,8;22;116,4220078;318;0,06918239
16,9;24;117,0948436;305;0,078688525
17;22;117,7673227;317;0,069400631
17,1;22;118,439443;312;0,070512821
17,2;23;119,1112026;322;0,071428571
17,3;22;119,7825993;329;0,066869301
17,4;20;120,4536311;340;0,058823529
17,5;20;121,124296;363;0,055096419
17,6;19;121,794592;375;0,050666667
17,7;21;122,4645169;474;0,044303797
17,8;22;123,1340688;738;0,029810298
17,9;21;123,8032456;1021;0,020568071
18;20;124,4720453;1255;0,015936255
18,1;18;125,1404659;930;0,019354839
18,2;19;125,8085052;963;0,01973001
18,3;21;126,4761613;1171;0,01793339
18,4;32;127,1434321;1328;0,024096386
18,5;54;127,8103156;1968;0,027439024
18,6;94;128,4768098;1773;0,053017484
18,7;112;129,1429126;1139;0,09833187
18,8;128;129,808622;1215;0,105349794
18,9;112;130,4739361;925;0,121081081
19;89;131,1388526;570;0,156140351
19,1;84;131,8033697;477;0,176100629
19,2;69;132,4674853;397;0,173803526
19,3;63;133,1311974;353;0,178470255
19,4;57;133,7945039;335;0,170149254
19,5;51;134,4574029;325;0,156923077
19,6;47;135,1198923;316;0,148734177
19,7;45;135,7819701;308;0,146103896
19,8;46;136,4436343;305;0,150819672
19,9;47;137,1048828;294;0,159863946
20;43;137,7657137;292;0,147260274
20,1;39;138,426125;306;0,12745098
20,2;41;139,0861146;289;0,141868512
20,3;40;139,7456805;284;0,14084507
20,4;38;140,4048207;283;0,134275618
20,5;42;141,0635332;296;0,141891892
20,6;41;141,721816;322;0,127329193
20,7;36;142,3796671;319;0,112852665
20,8;38;143,0370845;294;0,129251701
20,9;35;143,6940661;295;0,118644068
21;35;144,3506101;296;0,118243243
21,1;36;145,0067143;329;0,109422492
21,2;50;145,6623768;558;0,089605735
21,3;102;146,3175956;1115;0,091479821
21,4;171;146,9723687;1773;0,096446701
21,5;291;147,6266941;2739;0,106243154
21,6;210;148,2805698;2081;0,100913023
21,7;156;148,9339938;1573;0,099173554
21,8;129;149,5869642;1307;0,098699311
21,9;70;150,2394788;725;0,096551724
22;43;150,8915358;446;0,096412556
22,1;29;151,5431332;308;0,094155844
22,2;23;152,1942689;252;0,091269841
22,3;21;152,8449411;242;0,08677686
22,4;17;153,4951476;223;0,076233184
22,5;20;154,1448866;213;0,093896714
22,6;21;154,794156;211;0,099526066
22,7;17;155,4429538;209;0,081339713
22,8;17;156,0912782;205;0,082926829
22,9;15;156,7391271;200;0,075
23;14;157,3864986;187;0,07486631
23,1;16;158,0333906;193;0,082901554
23,2;14;158,6798012;188;0,074468085
23,3;13;159,3257284;182;0,071428571
23,4;14;159,9711703;181;0,077348066
23,5;15;160,616125;174;0,086206897
23,6;12;161,2605903;172;0,069767442
23,7;11;161,9045644;166;0,06626506
23,8;13;162,5480454;176;0,073863636
23,9;11;163,1910312;163;0,067484663
24;10;163,8335198;165;0,060606061
24,1;11;164,4755094;158;0,069620253
24,2;11;165,116998;161;0,068322981
24,3;11;165,7579836;164;0,067073171
24,4;11;166,3984643;180;0,061111111
24,5;12;167,0384381;202;0,059405941
24,6;12;167,6779031;219;0,054794521
24,7;9;168,3168573;213;0,042253521
24,8;10;168,9552988;189;0,052910053
24,9;10;169,5932256;174;0,057471264
25;10;170,2306358;159;0,062893082
25,1;9;170,8675275;141;0,063829787
25,2;9;171,5038986;136;0,066176471
25,3;9;172,1397474;134;0,067164179
25,4;9;172,7750717;129;0,069767442
25,5;10;173,4098698;134;0,074626866
25,6;8;174,0441396;129;0,062015504
25,7;8;174,6778793;119;0,067226891
25,8;8;175,3110868;120;0,066666667
25,9;7;175,9437604;114;0,061403509
26;7;176,5758979;118;0,059322034
