Pujada;Temp;PujadaPrima
98,72;40;0,01356484
99,21;40,1;0,013475273
99,79;40,2;0,013370771
100,3;40,3;0,013280212
100,6;40,4;0,013227513
101;40,5;0,013157895
101,6;40,6;0,01305483
102,2;40,7;0,012953368
102,7;40,8;0,012870013
103,4;40,9;0,012755102
103,8;41;0,012690355
105;41,1;0,0125
105,3;41,2;0,0124533
105,8;41,3;0,012376238
106,4;41,4;0,012285012
107;41,5;0,012195122
107,6;41,6;0,012106538
108,3;41,7;0,012004802
109,1;41,8;0,011890606
109,5;41,9;0,01183432
110,3;42;0,011723329
110,9;42,1;0,011641444
111,7;42,2;0,011534025
112,3;42,3;0,011454754
113,1;42,4;0,011350738
114;42,5;0,011235955
114,6;42,6;0,011160714
115,7;42,7;0,011025358
116,7;42,8;0,010905125
117,5;42,9;0,010810811
118,3;43;0,010718114
119;43,1;0,010638298
121,5;43,2;0,010362694
121,9;43,3;0,010319917
122,3;43,4;0,010277492
123,9;43,5;0,010111223
124,4;43,6;0,010060362
125,2;43,7;0,00998004
126,3;43,8;0,009871668
127,3;43,9;0,009775171
128,3;44;0,009680542
129,3;44,1;0,009587728
130,6;44,2;0,009469697
130,8;44,3;0,009451796
132,9;44,4;0,009267841
134,6;44,5;0,009124088
135,6;44,6;0,009041591
136,6;44,7;0,008960573
138,2;44,8;0,008833922
139,6;44,9;0,008726003
140,3;45;0,008673027
142,7;45,1;0,008496177
144,2;45,2;0,008389262
145,7;45,3;0,008285004
147,6;45,4;0,008156607
149,6;45,5;0,008025682
151,3;45,6;0,007917656
153,7;45,7;0,007770008
155,2;45,8;0,007680492
159,5;45,9;0,007434944
160,1;46;0,007401925
161,9;46,1;0,007304602
163,7;46,2;0,007209805
166,2;46,3;0,007082153
168,9;46,4;0,00694927
170,8;46,5;0,006858711
173,7;46,6;0,00672495
176,9;46,7;0,006583278
179,2;46,8;0,006485084
182,9;46,9;0,006333122
186,1;47;0,006207325
189,4;47,1;0,006082725
193,7;47,2;0,005927682
197,6;47,3;0,005793743
200,7;47,4;0,00569152
205,7;47,5;0,005534034
208,3;47,6;0,005455537
211,7;47,7;0,005356186
216,7;47,8;0,005216484
222,6;47,9;0,005060729
229,9;48;0,004880429
243,5;48,1;0,004576659
246,2;48,2;0,004520796
259,9;48,3;0,004257131
263,7;48,4;0,004189359
272,6;48,5;0,004038772
280,8;48,6;0,003909304
290,1;48,7;0,003772161
307,6;48,8;0,00353857
317,6;48,9;0,003417635
334,5;49;0,003231018
350,5;49,1;0,003072197
370,2;49,2;0,002896871
404,3;49,3;0,002636436
502,6;49,4;0,002093802
524,9;49,5;0,0020004
546,2;49,6;0,001918649
556,6;49,7;0,001881114
570;49,8;0,001834862
556,7;49,9;0,00188076
553,8;50;0,001891074
525,3;50,1;0,001998801
512,2;50,2;0,002052545
480,1;50,3;0,002197319
451;50,4;0,002347418
443,3;50,5;0,002390629
429,4;50,6;0,002472799
415,9;50,7;0,002558199
404,7;50,8;0,002633658
393,3;50,9;0,002715178
387,7;51;0,0027571
378,1;51,1;0,002832059
369,4;51,2;0,0029036
361,9;51,3;0,00296824
353,3;51,4;0,003045995
346,5;51,5;0,00311042
338,7;51,6;0,003187759
332,4;51,7;0,00325309
326,6;51,8;0,00331565
319,2;51,9;0,003399048
315,7;52;0,003439972
310,7;52,1;0,003500175
305,1;52,2;0,003570154
300,5;52,3;0,003629764
296,2;52,4;0,003687316
288,7;52,5;0,003792188
286,7;52,6;0,003821169
282,1;52,7;0,003889537
278,1;52,8;0,003951008
275,2;52,9;0,003996803
271,3;53;0,004060089
268,6;53,1;0,00410509
264;53,2;0,0041841
260,6;53,3;0,004244482
257,3;53,4;0,004304778
254,5;53,5;0,004357298
251,5;53,6;0,004415011
248,2;53,7;0,004480287
245,5;53,8;0,004535147
241,5;53,9;0,004618938
239,2;54;0,004668534
237,3;54,1;0,004710316
235,1;54,2;0,004759638
233,2;54,3;0,004803074
229,4;54,4;0,004892368
227,6;54,5;0,004935834
225,8;54,6;0,00498008
223,5;54,7;0,005037783
221,6;54,8;0,00508647
220,1;54,9;0,005125577
219;55;0,005154639
